Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov8m.pt,ByteTrack,MOT17-02-FRCNN,25.723,0.17464076206877993,0.23042394014962594,23.0,42.117,15.728,41.5110,14.4540,ok,
yolov8m.pt,ByteTrack,MOT17-04-FRCNN,34.006,0.255146455831949,0.3589370104227358,51.0,47.786,24.313,111.6640,9.4032,ok,
yolov8m.pt,BoT-SORT,MOT17-02-FRCNN,24.886,0.1732414832355632,0.2161013116236997,24.0,38.727,16.02,47.9582,12.5109,ok,
yolov8m.pt,BoT-SORT,MOT17-04-FRCNN,35.157,0.2593729629707509,0.37806553825759415,41.0,50.466,24.571,124.2853,8.4483,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-02-FRCNN,27.553,0.19982778106668103,0.27511071744906995,32.0,42.55,17.864,53.1535,11.2881,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-04-FRCNN,35.918,0.2873183758437244,0.385341932228512,50.0,47.929,27.042,134.3784,7.8138,ok,
yolov8m.pt,Hybrid-SORT,MOT17-02-FRCNN,29.416,0.22022496098164793,0.2964760955311863,54.0,43.819,19.848,49.4580,12.1315,ok,
yolov8m.pt,Hybrid-SORT,MOT17-04-FRCNN,38.297,0.3086191307273377,0.4193117584943164,104.0,51.262,28.698,131.3993,7.9909,ok,
yolov8m.pt,BoostTrack++,MOT17-02-FRCNN,25.834,0.19423066573381412,0.2474060822898032,32.0,38.7,17.264,44.7625,13.4041,ok,
yolov8m.pt,BoostTrack++,MOT17-04-FRCNN,35.589,0.27850789578821206,0.38981776291579334,55.0,49.016,25.911,119.4254,8.7921,ok,
yolov8m.pt,TrackTrack,MOT17-02-FRCNN,24.311,0.17647058823529413,0.21617706966007333,27.0,36.649,16.16,48.5731,12.3525,ok,
yolov8m.pt,TrackTrack,MOT17-04-FRCNN,35.53,0.2689824841768825,0.37751971602499235,46.0,50.128,25.265,126.1112,8.3260,ok,
yolov10m.pt,ByteTrack,MOT17-02-FRCNN,24.017,0.1625854367364512,0.2104052624315746,25.0,40.125,14.383,42.5763,14.0924,ok,
yolov10m.pt,ByteTrack,MOT17-04-FRCNN,25.289,0.130622200727548,0.22319140816660307,12.0,50.368,12.702,74.8959,14.0195,ok,
yolov10m.pt,BoT-SORT,MOT17-02-FRCNN,27.557,0.1623163446531403,0.23647313014296878,22.0,51.548,14.739,52.6854,11.3884,ok,
yolov10m.pt,BoT-SORT,MOT17-04-FRCNN,25.387,0.13110583089765965,0.22194839083792403,8.0,49.841,12.937,94.3492,11.1289,ok,
yolov10m.pt,Deep_OC-SORT,MOT17-02-FRCNN,23.776,0.1845433507346214,0.2241503326739795,26.0,34.326,16.487,55.1994,10.8697,ok,
yolov10m.pt,Deep_OC-SORT,MOT17-04-FRCNN,28.599,0.15530836680194293,0.25462150617677815,18.0,54.204,15.129,102.5693,10.2370,ok,
yolov10m.pt,Hybrid-SORT,MOT17-02-FRCNN,27.006,0.19972014423335666,0.2592149035262808,61.0,40.466,18.07,47.9653,12.5090,ok,
yolov10m.pt,Hybrid-SORT,MOT17-04-FRCNN,30.04,0.17095275143511995,0.28407997621005127,18.0,54.66,16.544,87.7896,11.9604,ok,
yolov10m.pt,BoostTrack++,MOT17-02-FRCNN,26.415,0.18518917173456756,0.2471119133574007,42.0,41.869,16.68,44.1021,13.6048,ok,
yolov10m.pt,BoostTrack++,MOT17-04-FRCNN,27.33,0.14039994112328363,0.24400424605530666,25.0,54.291,13.784,78.4615,13.3824,ok,
yolov10m.pt,TrackTrack,MOT17-02-FRCNN,25.901,0.16312362090307303,0.2234375,14.0,45.287,14.826,52.1459,11.5062,ok,
yolov10m.pt,TrackTrack,MOT17-04-FRCNN,26.147,0.13924343419475577,0.23656920639493015,17.0,50.168,13.634,97.1479,10.8083,ok,
yolov11m.pt,ByteTrack,MOT17-02-FRCNN,23.448,0.18196006673483667,0.2169934640522876,23.0,33.974,16.205,43.9239,13.6600,ok,
yolov11m.pt,ByteTrack,MOT17-04-FRCNN,30.86,0.16834535399625714,0.2864930980255111,3.0,57.845,16.506,86.9997,12.0690,ok,
