Model,Tracker,Sequence,HOTA,MOTA,IDF1,IDSW,AssA,DetA,Avg_Inference_Time,FPS,Status,Error
yolov8m.pt,ByteTrack,MOT17-02-FRCNN,26.951,0.17458694365211774,0.2433081208388061,24.0,46.067,15.778,42.1854,14.2229,ok,
yolov8m.pt,ByteTrack,MOT17-04-FRCNN,35.579,0.26185419601741067,0.3808744484556759,49.0,50.704,25.074,115.0085,9.1298,ok,
yolov8m.pt,BoT-SORT,MOT17-02-FRCNN,25.24,0.1726494806522792,0.22507225433526012,27.0,39.662,16.088,48.7637,12.3042,ok,
yolov8m.pt,BoT-SORT,MOT17-04-FRCNN,35.003,0.2662068675484156,0.3694819043343008,48.0,48.656,25.286,125.7558,8.3495,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-02-FRCNN,26.794,0.20241106506646575,0.27151909875022,32.0,39.365,18.276,53.3418,11.2482,ok,
yolov8m.pt,Deep_OC-SORT,MOT17-04-FRCNN,37.01,0.2924700885253485,0.40584638422661756,54.0,49.487,27.805,141.0777,7.4427,ok,
yolov8m.pt,Hybrid-SORT,MOT17-02-FRCNN,29.853,0.22479952639793338,0.30030880082346884,78.0,43.624,20.577,51.1846,11.7223,ok,
yolov8m.pt,Hybrid-SORT,MOT17-04-FRCNN,39.461,0.3341043379523519,0.4475685502196637,110.0,50.223,31.112,141.9692,7.3960,ok,
yolov8m.pt,BoostTrack++,MOT17-02-FRCNN,27.899,0.19433830256713847,0.2690518783542039,28.0,44.569,17.485,45.2511,13.2594,ok,
yolov8m.pt,BoostTrack++,MOT17-04-FRCNN,35.819,0.27760371764409025,0.39485225853955247,57.0,49.85,25.805,121.7080,8.6272,ok,
yolov8m.pt,TrackTrack,MOT17-02-FRCNN,24.635,0.17786986706851085,0.22534957149300858,30.0,37.103,16.395,49.2323,12.1871,ok,
yolov8m.pt,TrackTrack,MOT17-04-FRCNN,36.551,0.27106419664823267,0.39065097838598284,42.0,52.336,25.602,129.1561,8.1297,ok,
yolov10m.pt,ByteTrack,MOT17-02-FRCNN,26.77,0.1650072654862494,0.23144365389029148,18.0,49.068,14.607,44.8438,13.3798,ok,
yolov10m.pt,ByteTrack,MOT17-04-FRCNN,27.192,0.1408835712933953,0.25151335524779506,12.0,53.565,13.81,78.4018,13.3926,ok,
yolov10m.pt,BoT-SORT,MOT17-02-FRCNN,28.063,0.16360798665303267,0.24319985321774232,22.0,52.966,14.875,52.6755,11.3905,ok,
